2015-11-29 14:02:16,071 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: we.are.awesome:tasks:0.1.0-SNAPSHOT @ /home/wi/workspace/winfo/HA5/pom.xml.
2015-11-29 14:02:18,529 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: we.are.awesome:tasks:0.1.0-SNAPSHOT @ /home/wi/workspace/winfo/HA5/pom.xml.
2015-11-29 14:02:21,123 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: we.are.awesome:tasks:0.1.0-SNAPSHOT @ /home/wi/workspace/winfo/HA5/pom.xml.
2015-11-29 14:02:25,338 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-29 14:02:25,347 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2015-11-29 14:02:25,365 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-29 14:02:25,366 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wi/workspace/winfo/HA5/src/test/resources
2015-11-29 14:02:26,756 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: we.are.awesome:tasks:0.1.0-SNAPSHOT @ /home/wi/workspace/winfo/HA5/pom.xml.
2015-11-29 14:02:27,440 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: we.are.awesome:tasks:0.1.0-SNAPSHOT @ /home/wi/workspace/winfo/HA5/pom.xml.
2015-11-29 14:02:34,317 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: we.are.awesome:GTD:0.1.0-SNAPSHOT @ /home/wi/workspace/winfo/HA6/pom.xml.
2015-11-29 14:02:39,576 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-29 14:02:39,596 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2015-11-29 14:02:39,598 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-29 14:02:39,599 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wi/workspace/winfo/HA5/src/test/resources
2015-11-29 14:02:43,125 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-29 14:02:43,126 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2015-11-29 14:02:43,134 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-29 14:02:43,135 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wi/workspace/winfo/HA6/src/test/resources
